Admin1,Facility name,Facility type,Lat,Long
Addis Ababa,Gulele Clinic 5,Clinic,9.0537,38.7204
Addis Ababa,Gulele Clinic 6,Clinic,9.0486,38.7243
Addis Ababa,Gulele Clinic 7,Clinic,9.0499,38.7229
Addis Ababa,Gulele Clinic 8,Clinic,9.0503,38.7227
Addis Ababa,Gulele Clinic 9,Clinic,9.0623,38.7368
Addis Ababa,Gulele Health Centre 1,Health Centre,9.0689,38.7391
Addis Ababa,Gulele Health Centre 2,Health Centre,9.0503,38.7318
Addis Ababa,Gulele Health Centre 3,Health Centre,9.0531,38.7537
Addis Ababa,Gulele Health Centre 4,Health Centre,9.0512,38.7606
Addis Ababa,Gulele Health Centre 5,Health Centre,9.0469,38.7701
Addis Ababa,Gulele Health Post 1,Health Post,9.0597,38.7219
Addis Ababa,Gulele Health Post 2,Health Post,9.0556,38.7295
Addis Ababa,Gulele Health Post 3,Health Post,9.0558,38.7367
Addis Ababa,Gulele Health Post 4,Health Post,9.0516,38.7369
Addis Ababa,Gulele Health Post 5,Health Post,9.051,38.746
Addis Ababa,Gulele Hospital 1,Hospital,9.0446,38.7309
Addis Ababa,Gulele Hospital 2,Hospital,9.0712,38.7604
Addis Ababa,Kirkos Clinic 1,Clinic,9.0108,38.7596
Addis Ababa,Kirkos Clinic 10,Clinic,8.9976,38.7564
Addis Ababa,Kirkos Clinic 11,Clinic,9.0068,38.7557
Addis Ababa,Kirkos Clinic 12,Clinic,9.0063,38.758
Addis Ababa,Kirkos Clinic 13,Clinic,9.0065,38.7617
Addis Ababa,Kirkos Clinic 14,Clinic,9.0016,38.7617
Addis Ababa,Kirkos Clinic 15,Clinic,8.9956,38.762
Addis Ababa,Kirkos Clinic 16,Clinic,8.9963,38.7699
Addis Ababa,Kirkos Clinic 17,Clinic,8.9985,38.7712
Addis Ababa,Kirkos Clinic 18,Clinic,9,38.7707
Addis Ababa,Kirkos Clinic 19,Clinic,8.9946,38.7499
Addis Ababa,Kirkos Clinic 2,Clinic,9.0111,38.7593
Addis Ababa,Kirkos Clinic 20,Clinic,8.9986,38.7452
Addis Ababa,Kirkos Clinic 21,Clinic,8.9997,38.745
Addis Ababa,Kirkos Clinic 22,Clinic,8.9924,38.7496
Addis Ababa,Kirkos Clinic 23,Clinic,8.9931,38.7483
Addis Ababa,Kirkos Clinic 24,Clinic,8.9901,38.7523
Addis Ababa,Kirkos Clinic 25,Clinic,8.9879,38.7509
Addis Ababa,Kirkos Clinic 26,Clinic,8.9826,38.7527
Addis Ababa,Kirkos Clinic 27,Clinic,8.9917,38.7611
Addis Ababa,Kirkos Clinic 28,Clinic,8.9932,38.7613
Addis Ababa,Kirkos Clinic 29,Clinic,8.9911,38.7646
Addis Ababa,Kirkos Clinic 3,Clinic,9.0114,38.759
Addis Ababa,Kirkos Clinic 30,Clinic,8.9906,38.7731
Addis Ababa,Kirkos Clinic 31,Clinic,8.9836,38.7645
Addis Ababa,Kirkos Clinic 32,Clinic,8.9842,38.7616
Addis Ababa,Kirkos Clinic 33,Clinic,8.981,38.7607
Addis Ababa,Kirkos Clinic 4,Clinic,9.0162,38.7693
Addis Ababa,Kirkos Clinic 5,Clinic,9.0143,38.7716
Addis Ababa,Kirkos Clinic 6,Clinic,9.0123,38.7741
Addis Ababa,Kirkos Clinic 7,Clinic,9.0112,38.7756
Addis Ababa,Kirkos Clinic 8,Clinic,9.0095,38.7744
Addis Ababa,Kirkos Clinic 9,Clinic,9.0124,38.7788
Addis Ababa,Kirkos Health Centre 1,Health Centre,9.0171,38.759
Addis Ababa,Kirkos Health Centre 2,Health Centre,9.0032,38.7481
Addis Ababa,Kirkos Health Centre 3,Health Centre,8.9976,38.7481
Addis Ababa,Kirkos Health Centre 4,Health Centre,8.9986,38.751
Addis Ababa,Kirkos Health Centre 5,Health Centre,8.9974,38.7652
Addis Ababa,Kirkos Health Centre 6,Health Centre,9.0096,38.7792
Addis Ababa,Kirkos Health Centre 7,Health Centre,9.0094,38.7748
Addis Ababa,Kirkos Health Post 1,Health Post,8.9896,38.7419
Addis Ababa,Kirkos Health Post 2,Health Post,8.9872,38.7733
Addis Ababa,Kirkos Hospital 1,Hospital,9.0147,38.7595
Addis Ababa,Kirkos Hospital 2,Hospital,9.0115,38.7586
Addis Ababa,Kirkos Hospital 3,Hospital,8.9974,38.77
Addis Ababa,Kolfe Keraniyo Clinic 1,Clinic,9.0381,38.7136
Addis Ababa,Kolfe Keraniyo Clinic 10,Clinic,9.0345,38.7166
Addis Ababa,Kolfe Keraniyo Clinic 11,Clinic,9.0246,38.7155
Addis Ababa,Kolfe Keraniyo Clinic 12,Clinic,9.0251,38.7174
Addis Ababa,Kolfe Keraniyo Clinic 13,Clinic,9.0307,38.7187
Addis Ababa,Kolfe Keraniyo Clinic 14,Clinic,9.0126,38.7115
Addis Ababa,Kolfe Keraniyo Clinic 15,Clinic,9.0189,38.7182
Addis Ababa,Kolfe Keraniyo Clinic 16,Clinic,9.0546,38.6937
Addis Ababa,Kolfe Keraniyo Clinic 17,Clinic,9.0589,38.6956
Addis Ababa,Kolfe Keraniyo Clinic 18,Clinic,9.0625,38.6959
Addis Ababa,Kolfe Keraniyo Clinic 19,Clinic,9.0595,38.7016
Addis Ababa,Kolfe Keraniyo Clinic 2,Clinic,9.0376,38.7148
Addis Ababa,Kolfe Keraniyo Clinic 20,Clinic,9.0553,38.7043
Addis Ababa,Kolfe Keraniyo Clinic 21,Clinic,9.0537,38.71
Addis Ababa,Kolfe Keraniyo Clinic 22,Clinic,9.0456,38.7081
Addis Ababa,Kolfe Keraniyo Clinic 23,Clinic,9.0423,38.7039
Addis Ababa,Kolfe Keraniyo Clinic 24,Clinic,9.0378,38.7023
Addis Ababa,Kolfe Keraniyo Clinic 25,Clinic,9.0394,38.7019
Addis Ababa,Kolfe Keraniyo Clinic 26,Clinic,9.0456,38.7171
Addis Ababa,Kolfe Keraniyo Clinic 27,Clinic,8.996,38.6847
Addis Ababa,Kolfe Keraniyo Clinic 28,Clinic,8.996,38.6823
Addis Ababa,Kolfe Keraniyo Clinic 29,Clinic,8.9956,38.6818
Addis Ababa,Kolfe Keraniyo Clinic 3,Clinic,9.0371,38.7159
Addis Ababa,Kolfe Keraniyo Clinic 30,Clinic,8.9907,38.6883
Addis Ababa,Kolfe Keraniyo Clinic 31,Clinic,9.0004,38.7016
Addis Ababa,Kolfe Keraniyo Clinic 32,Clinic,9.0021,38.7033
Addis Ababa,Kolfe Keraniyo Clinic 33,Clinic,9.0003,38.706
Addis Ababa,Kolfe Keraniyo Clinic 34,Clinic,9.0052,38.7076
Addis Ababa,Kolfe Keraniyo Clinic 35,Clinic,8.9781,38.7014
Addis Ababa,Kolfe Keraniyo Clinic 36,Clinic,8.978,38.6988
Addis Ababa,Kolfe Keraniyo Clinic 37,Clinic,8.9831,38.7112
Addis Ababa,Kolfe Keraniyo Clinic 38,Clinic,8.9787,38.7143
Addis Ababa,Kolfe Keraniyo Clinic 39,Clinic,9.0139,38.7035
Addis Ababa,Kolfe Keraniyo Clinic 4,Clinic,9.0397,38.7164
Addis Ababa,Kolfe Keraniyo Clinic 40,Clinic,8.9747,38.6879
Addis Ababa,Kolfe Keraniyo Clinic 41,Clinic,8.9889,38.7197
Addis Ababa,Kolfe Keraniyo Clinic 42,Clinic,8.9761,38.715
Addis Ababa,Kolfe Keraniyo Clinic 43,Clinic,9.0279,38.7177
Addis Ababa,Kolfe Keraniyo Clinic 5,Clinic,9.0289,38.7119
Addis Ababa,Kolfe Keraniyo Clinic 6,Clinic,9.0291,38.7127
Addis Ababa,Kolfe Keraniyo Clinic 7,Clinic,9.0295,38.7136
Addis Ababa,Kolfe Keraniyo Clinic 8,Clinic,9.0307,38.7143
Addis Ababa,Kolfe Keraniyo Clinic 9,Clinic,9.032,38.7155
Addis Ababa,Kolfe Keraniyo Health Centre 1,Health Centre,9.0412,38.7143
Addis Ababa,Kolfe Keraniyo Health Centre 2,Health Centre,9.016,38.7075
Addis Ababa,Kolfe Keraniyo Health Centre 3,Health Centre,8.9933,38.685
Addis Ababa,Kolfe Keraniyo Health Post,Health Post,9.0521,38.6949
Addis Ababa,Kolfe Keraniyo Hospital 1,Hospital,9.0549,38.713
Addis Ababa,Kolfe Keraniyo Hospital 2,Hospital,9.001,38.696
Addis Ababa,Kolfe Keraniyo Hospital 3,Hospital,8.9814,38.7144
Addis Ababa,Lideta Clinic 1,Clinic,9.0165,38.7322
Addis Ababa,Lideta Clinic 10,Clinic,9.0173,38.743
Addis Ababa,Lideta Clinic 11,Clinic,9.0155,38.746
Addis Ababa,Lideta Clinic 12,Clinic,9.0149,38.749
Addis Ababa,Lideta Clinic 13,Clinic,9.0128,38.7471
Addis Ababa,Lideta Clinic 14,Clinic,9.0111,38.7456
Addis Ababa,Lideta Clinic 15,Clinic,9.012,38.7462
Addis Ababa,Lideta Clinic 16,Clinic,9.0111,38.7383
Addis Ababa,Lideta Clinic 17,Clinic,9.0104,38.7527
Addis Ababa,Lideta Clinic 18,Clinic,8.9993,38.7436
Addis Ababa,Lideta Clinic 19,Clinic,9.0053,38.7454
Addis Ababa,Lideta Clinic 2,Clinic,9.017,38.7338
Addis Ababa,Lideta Clinic 20,Clinic,9.0067,38.7387
Addis Ababa,Lideta Clinic 21,Clinic,9.007,38.7347
Addis Ababa,Lideta Clinic 22,Clinic,9.0094,38.7302
Addis Ababa,Lideta Clinic 23,Clinic,9.0066,38.7249
Addis Ababa,Lideta Clinic 24,Clinic,9.0094,38.7237
Addis Ababa,Lideta Clinic 25,Clinic,9.0133,38.7313
Addis Ababa,Lideta Clinic 26,Clinic,9.0114,38.7209
Addis Ababa,Lideta Clinic 27,Clinic,8.9895,38.7192
Addis Ababa,Lideta Clinic 3,Clinic,9.0164,38.7357
Addis Ababa,Lideta Clinic 4,Clinic,9.0215,38.7427
Addis Ababa,Lideta Clinic 5,Clinic,9.0245,38.7492
Addis Ababa,Lideta Clinic 6,Clinic,9.0247,38.7497
Addis Ababa,Lideta Clinic 7,Clinic,9.021,38.7494
Addis Ababa,Lideta Clinic 8,Clinic,9.0198,38.7519
Addis Ababa,Lideta Clinic 9,Clinic,9.0187,38.7516
Addis Ababa,Lideta Health Centre 1,Health Centre,9.0235,38.7497
Addis Ababa,Lideta Health Centre 2,Health Centre,9.0108,38.737
Addis Ababa,Lideta Health Centre 3,Health Centre,9.0012,38.7376
Addis Ababa,Lideta Health Centre 4,Health Centre,8.9942,38.7199
Addis Ababa,Lideta Health Post 1,Health Post,9.0197,38.7317
Addis Ababa,Lideta Health Post 2,Health Post,9.0123,38.7328
Addis Ababa,Lideta Health Post 3,Health Post,9.0133,38.7385
Addis Ababa,Lideta Health Post 4,Health Post,9.0021,38.7202
Addis Ababa,Lideta Hospital 1,Hospital,9.0017,38.7181
Addis Ababa,Lideta Hospital 2,Hospital,8.9915,38.719
Addis Ababa,Lideta Hospital 3,Hospital,9.0082,38.7413
Addis Ababa,Lideta Hospital 4,Hospital,9.0076,38.743
Addis Ababa,Lideta Hospital 5,Hospital,9.0163,38.7514
Addis Ababa,Nefas Silk Lafto Clinic 1,Clinic,8.9889,38.7236
Addis Ababa,Nefas Silk Lafto Clinic 10,Clinic,8.9769,38.7518
Addis Ababa,Nefas Silk Lafto Clinic 11,Clinic,8.9763,38.7534
Addis Ababa,Nefas Silk Lafto Clinic 12,Clinic,8.9759,38.7517
Addis Ababa,Nefas Silk Lafto Clinic 13,Clinic,8.9754,38.7492
Addis Ababa,Nefas Silk Lafto Clinic 14,Clinic,8.9722,38.7495
Addis Ababa,Nefas Silk Lafto Clinic 15,Clinic,8.9698,38.7515
Addis Ababa,Nefas Silk Lafto Clinic 16,Clinic,8.9672,38.7528
Addis Ababa,Nefas Silk Lafto Clinic 17,Clinic,8.9721,38.7626
Addis Ababa,Nefas Silk Lafto Clinic 18,Clinic,8.9636,38.7578
Addis Ababa,Nefas Silk Lafto Clinic 19,Clinic,8.9691,38.7331
Addis Ababa,Nefas Silk Lafto Clinic 2,Clinic,8.9875,38.7279
Addis Ababa,Nefas Silk Lafto Clinic 20,Clinic,8.963,38.7306
Addis Ababa,Nefas Silk Lafto Clinic 21,Clinic,8.963,38.7419
Addis Ababa,Nefas Silk Lafto Clinic 22,Clinic,8.9564,38.7508
Addis Ababa,Nefas Silk Lafto Clinic 23,Clinic,8.9487,38.7476
Addis Ababa,Nefas Silk Lafto Clinic 24,Clinic,8.9488,38.7463
Addis Ababa,Nefas Silk Lafto Clinic 25,Clinic,8.9465,38.7444
Addis Ababa,Nefas Silk Lafto Clinic 26,Clinic,8.9427,38.7468
Addis Ababa,Nefas Silk Lafto Clinic 27,Clinic,8.9383,38.7563
Addis Ababa,Nefas Silk Lafto Clinic 28,Clinic,8.9389,38.7559
Addis Ababa,Nefas Silk Lafto Clinic 29,Clinic,8.9296,38.7456
Addis Ababa,Nefas Silk Lafto Clinic 3,Clinic,8.9849,38.7282
Addis Ababa,Nefas Silk Lafto Clinic 30,Clinic,8.9285,38.7436
Addis Ababa,Nefas Silk Lafto Clinic 31,Clinic,8.9266,38.7451
Addis Ababa,Nefas Silk Lafto Clinic 32,Clinic,8.9492,38.7634
Addis Ababa,Nefas Silk Lafto Clinic 33,Clinic,8.9514,38.763
Addis Ababa,Nefas Silk Lafto Clinic 34,Clinic,8.9508,38.766
Addis Ababa,Nefas Silk Lafto Clinic 35,Clinic,8.9562,38.769
Addis Ababa,Nefas Silk Lafto Clinic 36,Clinic,8.9559,38.7721
Addis Ababa,Nefas Silk Lafto Clinic 37,Clinic,8.9537,38.7747
Addis Ababa,Nefas Silk Lafto Clinic 38,Clinic,8.9537,38.7727
Addis Ababa,Nefas Silk Lafto Clinic 4,Clinic,8.992,38.738
Addis Ababa,Nefas Silk Lafto Clinic 5,Clinic,8.9877,38.7409
Addis Ababa,Nefas Silk Lafto Clinic 6,Clinic,8.9831,38.7378
Addis Ababa,Nefas Silk Lafto Clinic 7,Clinic,8.9832,38.7404
